metric,value
prob_call_delayed,0.154060
prob_call_lost,0.019520
avg_delay,26.026069
avg_abs_prediction_error,30.799080
avg_rel_prediction_error,1.812529
delay_distribution,predicted_waiting,actual_waiting,error,relative_error
,0.000000,3.532449,-3.532449,-1.000000
,0.000000,2.719822,-2.719822,-1.000000
,0.000000,8.033155,-8.033155,-1.000000
,0.000000,32.239252,-32.239252,-1.000000
,91.150198,114.802252,-23.652055,-0.206024
,91.110697,14.844477,76.266220,5.137683
,0.000000,27.139217,-27.139217,-1.000000
,91.761166,47.959614,43.801552,0.913301
,0.000000,79.332550,-79.332550,-1.000000
,91.677653,70.409562,21.268091,0.302063
,0.000000,8.238314,-8.238314,-1.000000
,0.000000,28.011334,-28.011334,-1.000000
,91.918671,33.010535,58.908135,1.784525
,0.000000,12.966314,-12.966314,-1.000000
,0.000000,0.659510,-0.659510,-1.000000
,0.000000,8.706007,-8.706007,-1.000000
,0.000000,8.106270,-8.106270,-1.000000
,0.000000,25.030502,-25.030502,-1.000000
,0.000000,15.365838,-15.365838,-1.000000
,0.000000,23.257216,-23.257216,-1.000000
,0.000000,38.093152,-38.093152,-1.000000
,91.958504,9.889363,82.069141,8.298729
,0.000000,42.675759,-42.675759,-1.000000
,0.000000,30.837845,-30.837845,-1.000000
,92.078122,26.129341,65.948780,2.523936
,0.000000,9.429519,-9.429519,-1.000000
,0.000000,4.019477,-4.019477,-1.000000
,0.000000,49.391928,-49.391928,-1.000000
,0.000000,27.417717,-27.417717,-1.000000
,91.758607,29.144576,62.614031,2.148394
,0.000000,59.040437,-59.040437,-1.000000
,0.000000,16.774937,-16.774937,-1.000000
,0.000000,10.136794,-10.136794,-1.000000
,0.000000,23.181227,-23.181227,-1.000000
,91.853016,21.958205,69.894811,3.183084
,91.809492,36.833713,54.975779,1.492540
,0.000000,9.839289,-9.839289,-1.000000
,91.907839,32.813077,59.094763,1.800952
,91.862598,22.018802,69.843797,3.172007
,0.000000,39.677229,-39.677229,-1.000000
,0.000000,20.098418,-20.098418,-1.000000
,0.000000,62.812936,-62.812936,-1.000000
,91.771291,69.738325,22.032966,0.315938
,0.000000,8.635106,-8.635106,-1.000000
,91.967777,12.118250,79.849527,6.589196
,0.000000,40.406909,-40.406909,-1.000000
,0.000000,9.178334,-9.178334,-1.000000
,0.000000,26.778540,-26.778540,-1.000000
,0.000000,11.426646,-11.426646,-1.000000
,91.905801,18.606006,73.299795,3.939577
,0.000000,28.181203,-28.181203,-1.000000
,0.000000,31.576082,-31.576082,-1.000000
,0.000000,43.048092,-43.048092,-1.000000
,0.000000,2.571228,-2.571228,-1.000000
,0.000000,46.272488,-46.272488,-1.000000
,0.000000,9.594626,-9.594626,-1.000000
