actual_delay,predicted_delay,absolute_error,relative_error
66.452990,27.059404,39.393586,0.592804
0.690515,0.000000,0.690515,1.000000
45.760538,0.000000,45.760538,1.000000
41.160376,27.122231,14.038145,0.341060
13.597469,0.000000,13.597469,1.000000
51.118538,0.000000,51.118538,1.000000
42.536028,0.000000,42.536028,1.000000
33.135529,27.197930,5.937599,0.179191
23.870342,27.224791,3.354449,0.140528
16.982274,0.000000,16.982274,1.000000
13.857834,0.000000,13.857834,1.000000
5.864077,0.000000,5.864077,1.000000
0.665109,0.000000,0.665109,1.000000
28.491714,0.000000,28.491714,1.000000
7.738612,0.000000,7.738612,1.000000
22.456424,0.000000,22.456424,1.000000
10.695165,0.000000,10.695165,1.000000
3.511230,27.066238,23.555008,6.708478
17.027758,0.000000,17.027758,1.000000
18.018610,0.000000,18.018610,1.000000
38.063292,0.000000,38.063292,1.000000
17.423209,0.000000,17.423209,1.000000
19.413247,26.984160,7.570914,0.389987
0.359547,0.000000,0.359547,1.000000
22.150843,0.000000,22.150843,1.000000
15.117656,0.000000,15.117656,1.000000
31.080401,26.901665,4.178736,0.134449
66.832039,0.000000,66.832039,1.000000
70.978152,26.888797,44.089356,0.621168
8.256507,26.956268,18.699761,2.264851
11.628361,0.000000,11.628361,1.000000
47.430606,0.000000,47.430606,1.000000
42.846996,26.973065,15.873930,0.370479
21.443379,0.000000,21.443379,1.000000
27.171705,0.000000,27.171705,1.000000
19.314214,27.024573,7.710359,0.399206
21.121194,0.000000,21.121194,1.000000
19.096604,27.011968,7.915364,0.414491
4.447759,0.000000,4.447759,1.000000
13.215484,0.000000,13.215484,1.000000
5.605630,26.951652,21.346022,3.807961
0.324488,0.000000,0.324488,1.000000
21.673009,0.000000,21.673009,1.000000
2.577839,0.000000,2.577839,1.000000
6.910042,26.841293,19.931251,2.884389
11.342368,0.000000,11.342368,1.000000
10.874082,0.000000,10.874082,1.000000
25.932300,0.000000,25.932300,1.000000
1.083063,0.000000,1.083063,1.000000
12.850513,0.000000,12.850513,1.000000
14.587799,26.674363,12.086564,0.828539
23.392582,0.000000,23.392582,1.000000
6.502410,0.000000,6.502410,1.000000
13.114605,0.000000,13.114605,1.000000
20.320753,26.594356,6.273603,0.308729
18.837081,26.572545,7.735463,0.410651
63.083639,0.000000,63.083639,1.000000
64.716223,26.549984,38.166239,0.589748
51.372205,26.608815,24.763390,0.482039
35.789838,0.000000,35.789838,1.000000
44.824239,26.709731,18.114508,0.404123
14.128036,0.000000,14.128036,1.000000
15.183060,26.753242,11.570182,0.762045
8.227930,0.000000,8.227930,1.000000
48.027254,0.000000,48.027254,1.000000
45.203908,26.685216,18.518692,0.409670
1.272759,0.000000,1.272759,1.000000
40.012131,0.000000,40.012131,1.000000
79.822137,26.708113,53.114024,0.665405
49.000687,26.729164,22.271523,0.454515
21.201301,0.000000,21.201301,1.000000
10.578417,0.000000,10.578417,1.000000
38.117453,0.000000,38.117453,1.000000
0.870350,0.000000,0.870350,1.000000
20.048602,0.000000,20.048602,1.000000
44.287755,26.790630,17.497125,0.395078
31.087924,26.780079,4.307845,0.138570
12.383320,26.807435,14.424115,1.164802
42.720571,0.000000,42.720571,1.000000
